"FractionID"	"TribalFraction"	"NameVariants"	"Tribe"	"TribeID"	"Makhzen"	"Marabout"	"Berber"	"Urbain1843"	"PopStats1844"	"Pop1845"	"Map1852"	"Silos1853"	"Silos1854"	"NomPop1855"	"NomPop1856"	"Pop1872"	"NomPop1872"	"Accardo1879"	"Silos1884"	"Longitude"	"Latitude"	"LocQual"	"Sources"	"DocComments"	"OtherComments"
64	"Ouled Aariou"	"Ouled Aariou/Arioua/Bel Aoua/Bel Haoua"	"Ouled Maaref"	17	0	0	0	"yes"	"yes"				"yes"		"yes"	"yes"	"yes"		"no"	3.000513	35.909241	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
65	"Deimat"	"Deimat/Dheïmat"	"Deimat"	18	0	0	0		"yes"				"yes"		"yes"	"yes"	"yes"		"no"	3.090495	35.708024	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
66	"El Abrass"	"El Abrass/Abrass/Labras/Hallabras"	"Abid"	19	1	0	0					"yes"	"yes"	"no"	"yes"			"yes"	"no"	2.92719	36.088396	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
67	"El Cherfa"	"El Cherfa/Chorfa"	"Abid"	19	1	1	0	"yes"				"yes"	"yes"	"no"	"yes"			"yes"	"no"	2.868498	36.103312	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Marabouts (Urbain 1843: 430)"	
68	"El Tehalit"	"Tehalit/El-Tâlit/Eltehallit/Cheikh Moussa"	"Abid"	19	1	0	0	"yes"				"yes"	"yes"	"no"	"yes"			"yes"	"no"	2.908208	36.058466	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
69	"El Geraba"	"El Geraba/Gharaba/Reraba"	"Abid"	19	1	0	0	"yes"				"yes"	"yes"	"no"	"yes"			"yes"	"no"	2.92142	36.025176	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
70	"Ouled Senan"	"Ouled Senan/Senane/Seman/Semela/Samlia"	"Abid"	19	1	0	0	"no"			"yes"	"yes"	"yes"	"no"	"yes"				"no"	2.873988	35.977517	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
138	"El Hekoum"	"El Hekoum/El Hakoum/Al Ahkoum"	"Abid"	19	1	0	0	"yes"			"yes"	"yes"	"no"	"no"	"yes"			"yes"	"no"	2.874788	36.016735	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
139	"El Kessentia"	"El Kessamtia/El Kessentiya/Kossentîa/Guessamtia/Ksamtiya"	"Abid"	19	1	0	0	"yes"				"yes"	"no"	"no"	"yes"			"yes"	"no"	2.919009	35.990507	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
71	"El Kerabib"	"El Kerabib/Kerabib/El Kerebib/El Kerarib/El Guerabib"	"Beni Hassen"	20	0	1	1	"yes"			"yes"	"yes"	"yes"		"yes"		"yes"	"yes"	"no"	2.80995	36.048812	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Marabouts (Urbain 1843: 407)"	
72	"Mezaïa"	"Mezaïa"	"Beni Hassen"	20	0	0	1	"yes"			"yes"	"yes"	"yes"		"yes"		"yes"		"no"	2.819272	36.001888	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
73	"Ouled Menna"	"Ouled Menna/Mennaa/Menâ"	"Beni Hassen"	20	0	0	1	"yes"			"yes"	"yes"	"yes"		"yes"		"yes"	"yes"	"no"	2.700189	36.047603	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
74	"Ouled Amran"	"Ouled Amran/Oumran/Omra"	"Beni Hassen"	20	0	0	1	"yes"			"yes"	"yes"	"yes"		"yes"		"yes"		"no"	2.832974	36.110998	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
75	"Ouled Saïd"	"Ouled Saïd"	"Beni Hassen"	20	0	0	1	"yes"			"yes"	"yes"	"yes"		"yes"		"yes"		"no"	2.80065	36.082811	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
76	"Beni Ghiar"	"Beni Ghiar/Gheïar/Ghïad/Rïar/Righar/Righas"	"Beni Hassen"	20	0	0	1				"yes"	"yes"	"yes"		"yes"		"yes"	"yes"	"no"	2.768833	36.0235	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
77	"Chemama"	"Chemama/Chebaa/Chebâna"	"Beni Hassen"	20	0	0	1				"yes"	"yes"	"yes"		"yes"		"yes"		"no"	2.857687	36.055001	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
140	"Ouled Sidi Yacoub"	"Ouled Sidi Yacoub/Yagoub"	"Beni Hassen"	20	0	0	1				"yes"	"yes"	"no"	"no"	"yes"				"no"	2.841822	36.029131	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
78	"Ghoundar"	"Ghoundar/El Ghouder/Gendeur"	"Hannacha"	21	0	0	0	"no"			"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"		"no"	2.597364	36.20403	"suggested"			
79	"Mhamdiah (Oulad Henich)"	"Mhamdiah/El Mehamedia/Oulad Henich/El Noueder"	"Hannacha"	21	0	0	0	"yes"			"no"	"yes"	"yes"	"yes"	"no"	"no"	"no"		"no"	2.597364	36.17288	"suggested"	"ANOM GGA 50II 240"		
80	"Dra Saboun"	"Drâa Saboun/Dra Saboun"	"Hannacha"	21	0	0	0	"no"			"no"	"yes"	"yes"	"no"	"no"	"yes"	"yes"		"no"	2.628937	36.188985	"suggested"	"ANOM GGA 50II 240"		
81	"Ouled Ben Alia"	"Ouled Ben Alia/El Anabelia/Cheikh Djelloul"	"Hannacha"	21	0	0	0	"yes"			"no"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"		"no"	2.570876	36.183052	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
82	"Oulad Hamoudah"	"Oulad Hamoudah/Hemoud"	"Hannacha"	21	0	0	0	"no"			"no"	"yes"	"yes"	"no"	"no"		"yes"			2.531109	36.184433	"suggested"			
83	"Cheraga"	"Cheraga (Eastern)"	"Ouzera"	22	0	0	1				"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"		"no"	2.917181	36.326593	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
84	"Gheraba"	"Gheraba/El Gzaba (Western)"	"Ouzera"	22	0	0	1				"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"		"no"	2.791098	36.342904	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
85	"Beni Aïssa"	"Beni Aïssa/Aïch."	"Ouzera"	22	0	0	1				"yes"	"yes"	"yes"	"no"	"no"	"yes"	"no"		"no"	2.852808	36.329424	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
86	"Ouled Amran"	"Ouled Amran/Amrane/Beghti Ben Amar"	"Haouara"	23	0	0	1	"yes"			"yes"	"yes"	"yes"						"no"	2.834239	36.200758	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
87	"El Ouata"	"El Ouata/El Queta/El Ouatha/El Louata"	"Haouara"	23	0	0	1	"yes"			"yes"	"yes"	"yes"						"no"	2.861453	36.158166	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
88	"Ouled Daoud"	"Ouled Daoud"	"Haouara"	23	0	0	1	"yes"			"yes"	"yes"	"yes"						"no"	2.774202	36.185756	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
89	"Ouled Tabet"	"Ouled Salah/Tabet/Thabet/Taouti/El Haoud"	"Haouara"	23	0	0	1	"yes"			"yes"	"yes"	"yes"						"no"	2.763173	36.150819	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
91	"El Menasseria"	"El Menasseria/M. Nasseria"	"Haouara"	23	0	1	1	"yes"			"yes"		"yes"						"no"	2.783569	36.22678	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Fraction of marabouts (Urbain 1843: 409)"	
92	"Ouled Messaoud"	"Ouled Messaoud/Massaoud/Meçaoud"	"Righa"	24	0	0	1				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.681914	36.182353	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
93	"Ouled Sidi Ahmed ben Youssef"	"Ouled Sidi Ahmed ben Youssef"	"Righa"	24	0	0	0				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.61893	36.135668	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
94	"Ouled Beni Aïssa"	"Ouled Beni Aïssa"	"Righa"	24	0	0	0				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.733143	36.100725	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
95	"Ouatha"	"Ouatha/Oukate/Ouanid"	"Righa"	24	0	0	1				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.67374	36.108652	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
96	"Ouled Bou Achera"	"Ouled Bou Achera"	"Righa"	24	0	0	1				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.683134	36.082117	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
97	"Ouled El Aouar"	"Ouled El Aouar/Laouar"	"Righa"	24	0	0	0				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.614189	36.094045	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
98	"Ouled Bou Senga"	"Senadja/Sennemadj/Ouled Bou Senga"	"Righa"	24	0	0	1				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.660546	36.1362	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
99	"Ouled Aïssa"	"Ouled Aïssa"	"Righa"	24	0	0	0				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.711004	36.199109	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277;SainteMarie2019"		
100	"Hefaïr"	"Hefaïr/El Hafaïr/El Afaïr"	"Righa"	24	0	0	0				"yes"	"yes"	"yes"	"no"	"no"				"no"	2.740305	36.213285	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
101	"Beni Madi"	"Beni Adi/Madi"	"Righa"	24	0	0	0					"yes"	"yes"	"no"	"no"				"no"	2.704781	36.130709	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
136	"Ouled Moussa"	"Ouled Moussa/Mouça/Ounich"	"Righa"	24	0	0	0				"yes"	"yes"	"no"	"no"	"no"				"no"	2.708047	36.165608	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
137	"El Kouard"	"El Kouard and El Ababda/El Akoua/El Gouared"	"Righa"	24	0	0	1				"yes"	"yes"	"no"	"no"	"no"				"no"	2.669865	36.159568	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
102	"Zedina"	"Zaouïa/Zedina/Zina/Zdina"	"Mouzaïa"	25	0	0	1	"yes"				"yes"	"yes"						"no"	2.735293	36.436225	"random"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
103	"Tadinaret"	"Tadinaret/Tadnaret/Tadinart/Tadmart/Tidinare"	"Mouzaïa"	25	0	0	1	"no"			"yes"	"yes"	"yes"			"yes"			"no"	2.748442	36.375256	"suggested"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
104	"Beni Atali"	"Beni Atali/Atelli/Attali/Ateulli/Ottly"	"Mouzaïa"	25	0	0	1	"no"			"yes"	"yes"	"yes"	"yes"		"yes"			"no"	2.744837	36.337428	"suggested"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
105	"Bou Alahoum"	"Bou Alahoum/Alaoum/Hallouan/Ahl Boualam"	"Mouzaïa"	25	0	0	0	"yes"			"yes"	"yes"	"yes"	"yes"		"yes"			"no"	2.698863	36.318891	"suggested"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
106	"Ouled Hessin"	"Ouled Hessin/Ouled Eussen"	"Mouzaïa"	25	0	0	1	"no"				"yes"	"yes"						"no"	2.701163	36.351052	"random"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
107	"Ouled Si Ameur"	"Ouled Si Ameur/El Fekaïria/El Fkaïlia"	"Mouzaïa"	25	0	0	1	"no"				"yes"	"yes"						"no"	2.672668	36.44156	"random"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
108	"El Hechem"	"El Hechem/Hachem/Achour"	"Mouzaïa"	25	0	0	1	"no"				"yes"	"yes"						"no"	2.684512	36.392967	"possible"	"ANOM GGA 50II 240;Pharaon1857a;SainteMarie2019;ANOM GGA 01II 277"		
109	"Chemamaa"	"Chemamaa/Chemama/Chemema"	"Mouzaïa"	25	0	0	1	"yes"			"yes"	"yes"	"yes"						"no"	2.694292	36.372602	"suggested"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
110	"Guessaïmia"	"El Ksaimia/Guessaïmia"	"Mouzaïa"	25	0	0	1	"no"				"yes"	"yes"						"no"	2.680552	36.412563	"random"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
111	"Ouanfouf"	"Ouanfouf/Ouenfouf/Anfouf/Ahl Enfouf"	"Mouzaïa"	25	0	0	1	"yes"			"yes"	"yes"	"yes"						"no"	2.724707	36.410713	"suggested"	"ANOM GGA 50II 240;Pharaon1857a;ANOM GGA 01II 277"		
158	"Zadmar"	"Zadmar"	"Mouzaïa"	25	0	0	0	"no"				"no"	"no"			"yes"			"no"	2.66972	36.335283	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
112	"Ouled Fergen"	"Ouled Fergen/Fergan/Ferghen/Ferdjan"	"Hassen Ben Ali"	26	0	0	0	"yes"				"yes"	"yes"	"yes"					"no"	2.991061	36.189608	"suggested"	"ANOM GGA 50II 240;SainteMarie2019;ANOM GGA 01II 277"		
113	"Ouled Trif"	"Ouled Trif/Drif/Terif"	"Hassen Ben Ali"	26	0	0	0	"yes"				"yes"	"yes"	"yes"				"yes"	"no"	2.988387	36.226462	"suggested"	"ANOM GGA 50II 240;SainteMarie2019;ANOM GGA 01II 277"		
114	"Ouled Brahim"	"Ouled Brahim"	"Hassen Ben Ali"	26	0	0	0	"yes"				"yes"	"yes"	"yes"					"no"	2.918293	36.259547	"suggested"	"ANOM GGA 50II 240;SainteMarie2019;ANOM GGA 01II 277"		
115	"Ouled Maïza"	"Ouled Maïza"	"Hassen Ben Ali"	26	0	0	0	"no"				"no"	"yes"	"yes"					"no"	2.941215	36.290371	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
116	"Ouled Melal"	"Ouled Melal/Mellal/Malel"	"Hassen Ben Ali"	26	0	0	0	"yes"				"yes"	"yes"	"yes"					"no"	2.912659	36.194724	"suggested"	"ANOM GGA 50II 240;SainteMarie2019;ANOM GGA 01II 277"		
117	"Gheraba"	"Gheraba/Keraba/El Kraba/Reraba/El Gharaba/El Chekaouat"	"Hassen Ben Ali"	26	0	0	0	"yes"				"yes"	"yes"	"yes"				"yes"	"no"	2.858723	36.246433	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
118	"Ouled El Madjoub"	"Ouled El Madjoub/Ouled Ali"	"Gherib"	27	0	1	0	"yes"			"yes"	"yes"	"no"	"yes"			"check"		"no"	2.530493	36.097422	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Originally marabouts (Urbain1843: 411)"	
119	"Ouled Khadifa"	"Endifa-Peumesh/Hadifa/Hedifa/Khadifa"	"Gherib"	27	0	1	0	"yes"			"yes"	"yes"	"no"	"yes"		"yes"	"check"		"no"	2.487623	36.164262	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Originally marabouts (Urbain1843: 411)"	
120	"Ouled Magel and Ouled Sidi Mohamed"	"Ouled Magel/Maguel and Ouled Sidi Mohamed"	"Gherib"	27	0	0	0	"yes"			"yes"	"yes"	"no"	"yes"		"yes"	"check"		"no"	2.535341	36.150495	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
122	"Beni Rached"	"Beni Rached/Rachet"	"Gherib"	27	0	0	0				"yes"	"yes"	"no"	"yes"		"yes"	"check"		"no"	2.481665	36.110251	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
124	"Ouled Dilmi"	"Ouled Dilmi/Delmi/Silmi/Statmia"	"Ouamri"	28	0	0	0				"yes"	"yes"	"no"	"yes"			"yes"		"no"	2.647108	36.259247	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
125	"Ouled Djouza"	"Ouled Djouza/Djouta/Djouda/Djouça/Rahman"	"Ouamri"	28	0	0	0				"yes"	"yes"	"no"	"yes"			"yes"		"no"	2.579685	36.280153	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
126	"Ouled Moussa"	"Ouled Moussa/Belal"	"Ouamri"	28	0	0	0				"yes"	"yes"	"no"	"yes"			"yes"		"no"	2.555558	36.230662	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
127	"Ouled Turci"	"Ouled Turci/Turki/Teurki"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.108403	36.21853	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
128	"Ouled Megebeul"	"Ouled Megubuel/Megben/Magebeul/Mangbel/Mengakbel"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.028105	36.277074	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
129	"Merabetin"	"Ouled Sy Mahmed bel Hadj Ahl el Ardh/Merabetin/Merabetine"	"Beni Bou Yacoub"	29	0	1	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.066036	36.226445	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Marabouts of the tribe"	
130	"Ouled Ali"	"Ouled Ali/Aly"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.037666	36.305175	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
131	"Ferna"	"Ferna/Fourna/Sourma"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	2.978447	36.280859	"possible"	"ANOM GGA 50II 240;ANOM GGA 01II 277"	"Said to be on NE slopes of Kef-er-R’mel (Accardo 1879)"	
132	"Si Bou Narré"	"Si Bou Narré/Si Bou Harri/Narri"	"Beni Bou Yacoub"	29	0	0	1	"no"		"yes"		"yes"	"no"	"yes"					"no"	2.988375	36.308769	"random"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
133	"Ouled Bedarna"	"Ouled Bedarna/El Bedahrn/El Bedarna/Bedrna"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.003503	36.333404	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
134	"Ouled Ameur"	"Ouled Ameur/Amer/Amena"	"Beni Bou Yacoub"	29	0	0	1	"no"		"yes"		"yes"	"no"	"yes"					"no"	3.04467	36.328021	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
135	"Ouled Medala"	"Medala/Madala/Madela/Medelha"	"Beni Bou Yacoub"	29	0	0	1	"yes"		"yes"		"yes"	"no"	"yes"					"no"	3.029822	36.245717	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		
55	"Ouled Sidi Nadji"	"Ouled Sidi Nadji"	"Ouled Sidi Nadji"	30	0	1	0	"yes"		"yes"	"yes"	"yes"	"yes"	"no"	"no"	"yes"			"no"	2.979601	36.136407	"suggested"	"ANOM GGA 50II 240;ANOM GGA 01II 277"		"A fraction of marabouts"
